Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average
170.2899932861328,171.9199981689453,168.82000732421875,168.82000732421875,53704400,0.0,0.0,
169.58999633789062,170.38999938964844,168.9499969482422,169.5800018310547,42055200,0.0,0.0,
169.02999877929688,169.1999969482422,168.24000549316406,168.4499969482422,37425500,0.0,0.0,
168.6999969482422,170.0800018310547,168.35000610351562,169.6699981689453,42451200,0.0,0.0,
168.8000030517578,169.08999633789062,167.11000061035156,167.77999877929688,49709300,0.0,0.0,
168.33999633789062,175.4600067138672,168.16000366210938,175.0399932861328,91070300,0.0,0.0,
174.25999450683594,178.36000061035156,174.2100067138672,176.5500030517578,101593300,0.0,0.0,
175.36000061035156,176.6300048828125,172.5,172.69000244140625,73531800,0.0,0.0,
171.75,173.75999450683594,168.27000427246094,169.3800048828125,73711200,0.0,0.0,
169.61000061035156,170.64999389648438,168.0,168.0,50901200,0.0,0.0,
168.02999877929688,168.63999938964844,166.5500030517578,167.0399932861328,43122900,0.0,0.0,
166.2100067138672,166.39999389648438,164.0800018310547,165.0,67772100,0.0,0.0,
165.52000427246094,167.25999450683594,164.77000427246094,165.83999633789062,48116400,0.0,0.0,
165.35000610351562,167.0500030517578,164.9199981689453,166.89999389648438,49537800,0.0,0.0,
166.5399932861328,169.3000030517578,166.2100067138672,169.02000427246094,48251800,0.0,0.0,169.31733296712238
169.52999877929688,170.61000061035156,168.14999389648438,169.88999938964844,50558300,0.0,0.0,169.38866577148437
169.8800048828125,171.33999633789062,169.17999267578125,169.3000030517578,44838400,0.0,0.0,169.36999918619793
173.3699951171875,176.02999877929688,173.10000610351562,173.5,68169400,0.0,0.0,169.7066660563151
173.3300018310547,174.99000549316406,170.0,170.3300018310547,65934800,0.0,0.0,169.75066630045572
169.5800018310547,172.7100067138672,169.11000061035156,169.3000030517578,50383100,0.0,0.0,169.85199991861978
172.50999450683594,173.4199981689453,170.88999938964844,173.02999877929688,94214900,0.0,0.0,169.71800028483074
186.6699981689453,187.0,182.66000366210938,183.3800048828125,157741757,0.0,0.0,170.17333374023437
